CMDLINE python hello_world.py
MEM 4.183594 1510389750.7103
MEM 5.664062 1510389750.8695
MEM 5.664062 1510389751.0282
MEM 5.664062 1510389751.1881
MEM 5.664062 1510389751.3510
MEM 5.664062 1510389751.5097
MEM 5.664062 1510389751.6691
MEM 5.664062 1510389751.8276
MEM 5.664062 1510389751.9869
MEM 5.664062 1510389752.1463
MEM 5.664062 1510389752.3049
MEM 5.664062 1510389752.4642
MEM 5.664062 1510389752.6228
MEM 5.664062 1510389752.7819
MEM 5.664062 1510389752.9415
MEM 5.664062 1510389753.1019
MEM 5.664062 1510389753.2611
MEM 5.664062 1510389753.4216
MEM 5.664062 1510389753.5812
MEM 5.664062 1510389753.7410
