CMDLINE python main.py
MEM 0.847656 1510389910.9465
MEM 6.031250 1510389911.1277
MEM 6.718750 1510389911.3089
MEM 7.128906 1510389911.4875
MEM 7.421875 1510389911.6665
MEM 9.074219 1510389911.8474
MEM 10.230469 1510389912.0285
MEM 11.507812 1510389912.2094
MEM 13.144531 1510389912.3906
MEM 14.601562 1510389912.5717
MEM 18.000000 1510389912.7538
MEM 19.234375 1510389912.9350
MEM 20.917969 1510389913.1163
MEM 22.691406 1510389913.2973
MEM 24.226562 1510389913.4781
MEM 25.324219 1510389913.6593
MEM 26.769531 1510389913.8409
MEM 31.238281 1510389914.0217
MEM 33.324219 1510389914.2026
MEM 33.800781 1510389914.3833
MEM 33.839844 1510389914.5668
MEM 34.589844 1510389914.7478
MEM 35.824219 1510389914.9286
MEM 36.996094 1510389915.1093
MEM 38.210938 1510389915.2903
MEM 40.089844 1510389915.4709
MEM 41.894531 1510389915.6522
MEM 42.011719 1510389915.8332
MEM 42.011719 1510389916.0132
MEM 42.386719 1510389916.1931
MEM 42.394531 1510389916.3741
MEM 42.648438 1510389916.5545
MEM 43.312500 1510389916.7352
MEM 44.492188 1510389916.9165
MEM 45.511719 1510389917.0983
MEM 45.777344 1510389917.2819
CHLD 0 1.882812 1510389917.3654
MEM 45.777344 1510389917.4668
CHLD 0 1.882812 1510389917.5491
CHLD 1 1.554688 1510389917.5496
CHLD 2 8.933594 1510389917.5500
MEM 45.777344 1510389917.6514
CHLD 0 1.882812 1510389917.7321
CHLD 1 1.554688 1510389917.7324
CHLD 2 8.589844 1510389917.7327
MEM 45.777344 1510389917.8340
MEM 46.066406 1510389918.0160
MEM 47.550781 1510389918.2021
MEM 49.484375 1510389918.3830
MEM 50.566406 1510389918.5640
MEM 51.429688 1510389918.7449
MEM 51.671875 1510389918.9227
MEM 52.371094 1510389919.1050
MEM 52.773438 1510389919.2842
MEM 53.589844 1510389919.4653
MEM 53.628906 1510389919.6477
MEM 53.628906 1510389919.8329
MEM 53.628906 1510389920.0107
MEM 53.628906 1510389920.1912
MEM 53.628906 1510389920.3730
MEM 53.628906 1510389920.5519
MEM 53.628906 1510389920.7310
MEM 53.628906 1510389920.9100
MEM 53.628906 1510389921.0890
MEM 53.628906 1510389921.2714
MEM 53.628906 1510389921.4505
MEM 53.628906 1510389921.6294
MEM 53.628906 1510389921.8086
MEM 53.683594 1510389921.9895
MEM 53.683594 1510389922.1685
MEM 53.683594 1510389922.3478
MEM 53.683594 1510389922.5280
MEM 53.914062 1510389922.7071
MEM 55.175781 1510389922.8891
MEM 55.789062 1510389923.0703
MEM 56.988281 1510389923.2524
MEM 59.031250 1510389923.4351
MEM 60.296875 1510389923.6165
MEM 61.402344 1510389923.7983
MEM 61.402344 1510389923.9775
MEM 61.402344 1510389924.1569
MEM 61.402344 1510389924.3379
MEM 61.402344 1510389924.5169
MEM 61.402344 1510389924.6958
MEM 61.402344 1510389924.8751
CHLD 0 1.886719 1510389924.9570
CHLD 1 13.621094 1510389924.9573
MEM 61.402344 1510389925.0586
CHLD 0 1.886719 1510389925.1406
CHLD 1 15.261719 1510389925.1409
MEM 61.402344 1510389925.2423
CHLD 0 1.886719 1510389925.3250
CHLD 1 17.171875 1510389925.3253
MEM 61.402344 1510389925.4266
CHLD 0 1.886719 1510389925.5109
CHLD 1 20.402344 1510389925.5113
MEM 61.402344 1510389925.6127
CHLD 0 1.886719 1510389925.7004
CHLD 1 21.914062 1510389925.7008
MEM 61.402344 1510389925.8021
CHLD 0 1.886719 1510389925.8907
CHLD 1 23.281250 1510389925.8911
MEM 61.402344 1510389925.9925
CHLD 0 1.886719 1510389926.0830
CHLD 1 24.964844 1510389926.0833
MEM 61.402344 1510389926.1847
CHLD 0 1.886719 1510389926.2714
CHLD 1 26.640625 1510389926.2717
MEM 61.402344 1510389926.3732
CHLD 0 1.886719 1510389926.4617
CHLD 1 28.250000 1510389926.4620
MEM 61.402344 1510389926.5634
CHLD 0 1.886719 1510389926.6533
CHLD 1 29.503906 1510389926.6536
MEM 61.402344 1510389926.7551
CHLD 0 1.886719 1510389926.8455
CHLD 1 30.648438 1510389926.8458
MEM 61.402344 1510389926.9473
CHLD 0 1.886719 1510389927.0325
CHLD 1 32.218750 1510389927.0328
MEM 61.402344 1510389927.1342
CHLD 0 1.886719 1510389927.2211
CHLD 1 32.699219 1510389927.2216
MEM 61.402344 1510389927.3230
CHLD 0 1.886719 1510389927.4072
CHLD 1 33.484375 1510389927.4075
MEM 61.402344 1510389927.5090
CHLD 0 1.886719 1510389927.5930
CHLD 1 34.308594 1510389927.5933
MEM 61.402344 1510389927.6947
CHLD 0 1.886719 1510389927.7793
CHLD 1 35.082031 1510389927.7798
MEM 61.402344 1510389927.8812
CHLD 0 1.886719 1510389927.9683
CHLD 1 35.949219 1510389927.9687
MEM 61.402344 1510389928.0702
CHLD 0 1.886719 1510389928.1541
CHLD 1 36.558594 1510389928.1544
MEM 61.402344 1510389928.2557
CHLD 0 1.886719 1510389928.3391
CHLD 1 36.824219 1510389928.3395
MEM 61.402344 1510389928.4408
CHLD 0 1.886719 1510389928.5250
CHLD 1 36.914062 1510389928.5253
MEM 61.402344 1510389928.6267
CHLD 0 1.886719 1510389928.7103
CHLD 1 37.097656 1510389928.7106
MEM 61.402344 1510389928.8120
CHLD 0 1.886719 1510389928.8953
CHLD 1 37.097656 1510389928.8957
MEM 61.402344 1510389928.9971
CHLD 0 1.886719 1510389929.0843
CHLD 1 38.101562 1510389929.0846
MEM 61.402344 1510389929.1860
CHLD 0 1.886719 1510389929.2688
CHLD 1 38.359375 1510389929.2691
MEM 61.402344 1510389929.3705
CHLD 0 1.886719 1510389929.4537
CHLD 1 39.261719 1510389929.4540
MEM 61.402344 1510389929.5557
CHLD 0 1.886719 1510389929.6385
CHLD 1 39.242188 1510389929.6388
MEM 61.402344 1510389929.7402
CHLD 0 1.886719 1510389929.8239
CHLD 1 39.546875 1510389929.8242
MEM 61.402344 1510389929.9258
CHLD 0 1.886719 1510389930.0101
CHLD 1 40.074219 1510389930.0104
MEM 61.402344 1510389930.1118
CHLD 0 1.886719 1510389930.1953
CHLD 1 39.601562 1510389930.1957
MEM 61.402344 1510389930.2971
CHLD 0 1.886719 1510389930.3813
